areaName,Borough,areaType,Attribute,Value
All Downtown,Manhattan,submarket,2010-01,3200
All Downtown,Manhattan,submarket,2010-02,3200
All Downtown,Manhattan,submarket,2010-03,3025
All Downtown,Manhattan,submarket,2010-04,3100
All Downtown,Manhattan,submarket,2010-05,3100
All Downtown,Manhattan,submarket,2010-06,3200
All Downtown,Manhattan,submarket,2010-07,3195
All Downtown,Manhattan,submarket,2010-08,3200
All Downtown,Manhattan,submarket,2010-09,3400
All Downtown,Manhattan,submarket,2010-10,3495
All Downtown,Manhattan,submarket,2010-11,3450
All Downtown,Manhattan,submarket,2010-12,3400
All Downtown,Manhattan,submarket,2011-01,3375
All Downtown,Manhattan,submarket,2011-02,3397
All Downtown,Manhattan,submarket,2011-03,3300
All Downtown,Manhattan,submarket,2011-04,3300
All Downtown,Manhattan,submarket,2011-05,3395
All Downtown,Manhattan,submarket,2011-06,3400
All Downtown,Manhattan,submarket,2011-07,3395
All Downtown,Manhattan,submarket,2011-08,3495
All Downtown,Manhattan,submarket,2011-09,3600
All Downtown,Manhattan,submarket,2011-10,3650
All Downtown,Manhattan,submarket,2011-11,3550
All Downtown,Manhattan,submarket,2011-12,3495
All Downtown,Manhattan,submarket,2012-01,3450
All Downtown,Manhattan,submarket,2012-02,3450
All Downtown,Manhattan,submarket,2012-03,3500
All Downtown,Manhattan,submarket,2012-04,3500
All Downtown,Manhattan,submarket,2012-05,3563
All Downtown,Manhattan,submarket,2012-06,3550
All Downtown,Manhattan,submarket,2012-07,3500
All Downtown,Manhattan,submarket,2012-08,3550
All Downtown,Manhattan,submarket,2012-09,3650
All Downtown,Manhattan,submarket,2012-10,3600
All Downtown,Manhattan,submarket,2012-11,3650
All Downtown,Manhattan,submarket,2012-12,3650
All Downtown,Manhattan,submarket,2013-01,3525
All Downtown,Manhattan,submarket,2013-02,3500
All Downtown,Manhattan,submarket,2013-03,3500
All Downtown,Manhattan,submarket,2013-04,3500
All Downtown,Manhattan,submarket,2013-05,3500
All Downtown,Manhattan,submarket,2013-06,3500
All Downtown,Manhattan,submarket,2013-07,3500
All Downtown,Manhattan,submarket,2013-08,3575
All Downtown,Manhattan,submarket,2013-09,3650
All Downtown,Manhattan,submarket,2013-10,3650
All Downtown,Manhattan,submarket,2013-11,3695
All Downtown,Manhattan,submarket,2013-12,3600
All Downtown,Manhattan,submarket,2014-01,3630
All Downtown,Manhattan,submarket,2014-02,3600
All Downtown,Manhattan,submarket,2014-03,3600
