Month,Brooklyn_Apts_Available,Manhattan_Apts_Available,NYC_Apts_Available,Queens_Apts_Available
1/1/2007,,2531,2199,
2/1/2007,,2461,2153,
3/1/2007,,2477,2174,
4/1/2007,,2501,2188,
5/1/2007,,2531,2211,
6/1/2007,,2557,2229,
7/1/2007,,2592,2264,
8/1/2007,,2627,2290,
9/1/2007,,2638,2308,
10/1/2007,,2649,2320,
11/1/2007,,2671,2334,
12/1/2007,,2678,2341,
1/1/2008,,2681,2342,
2/1/2008,,2679,2345,
3/1/2008,,2686,2351,
4/1/2008,,2686,2351,
5/1/2008,,2687,2351,
6/1/2008,,2688,2352,
7/1/2008,,2689,2354,
8/1/2008,,2690,2356,
9/1/2008,,2678,2346,
10/1/2008,,2650,2323,
11/1/2008,,2620,2298,
12/1/2008,,2583,2266,
1/1/2009,,2547,2236,
2/1/2009,,2514,2208,
3/1/2009,,2485,2185,
4/1/2009,,2460,2163,
5/1/2009,,2443,2148,
6/1/2009,,2433,2140,
7/1/2009,,2434,2140,
8/1/2009,,2430,2137,
9/1/2009,,2429,2137,
10/1/2009,,2423,2132,
11/1/2009,,2411,2122,
12/1/2009,,2404,2116,
1/1/2010,1849,2410,2120,
2/1/2010,1840,2415,2123,
3/1/2010,1846,2418,2126,
4/1/2010,1857,2426,2132,
5/1/2010,1877,2439,2143,
6/1/2010,1894,2454,2156,
7/1/2010,1895,2471,2171,
8/1/2010,1904,2485,2184,
9/1/2010,1909,2501,2197,
10/1/2010,1924,2512,2207,
11/1/2010,1914,2519,2211,
12/1/2010,1934,2525,2219,
1/1/2011,1936,2538,2230,
2/1/2011,1941,2550,2239,
3/1/2011,1940,2564,2250,
4/1/2011,1960,2581,2266,
5/1/2011,1977,2595,2278,
6/1/2011,1990,2613,2294,
7/1/2011,2005,2633,2311,
8/1/2011,2020,2648,2325,
9/1/2011,2032,2662,2337,
10/1/2011,2044,2676,2349,
11/1/2011,2051,2681,2354,
12/1/2011,2051,2684,2357,
1/1/2012,2054,2692,2363,1750
2/1/2012,2066,2701,2371,1783
3/1/2012,2069,2714,2382,1788
4/1/2012,2090,2728,2394,1780
5/1/2012,2101,2745,2410,1800
6/1/2012,2115,2757,2420,1793
7/1/2012,2130,2773,2435,1804
8/1/2012,2144,2787,2447,1790
9/1/2012,2154,2796,2455,1803
10/1/2012,2166,2802,2461,1806
11/1/2012,2184,2807,2467,1816
12/1/2012,2194,2808,2469,1816
1/1/2013,2198,2810,2472,1818
2/1/2013,2204,2821,2481,1817
3/1/2013,2209,2828,2487,1817
4/1/2013,2222,2837,2495,1823
5/1/2013,2239,2853,2510,1839
6/1/2013,2255,2865,2522,1846
7/1/2013,2275,2877,2535,1865
8/1/2013,2289,2888,2545,1874
9/1/2013,2298,2897,2553,1882
10/1/2013,2307,2901,2557,1882
11/1/2013,2307,2901,2556,1879
12/1/2013,2306,2895,2552,1872
1/1/2014,2307,2898,2554,1877
2/1/2014,2313,2902,2558,1882
3/1/2014,2315,2909,2563,1884
4/1/2014,2328,2925,2577,1896
5/1/2014,2345,2944,2593,1902
6/1/2014,2358,2958,2605,1911
7/1/2014,2370,2971,2617,1925
8/1/2014,2386,2985,2631,1937
9/1/2014,2393,2992,2638,1952
10/1/2014,2393,2996,2641,1960
11/1/2014,2394,2995,2641,1963
12/1/2014,2396,2996,2642,1968
1/1/2015,2405,3001,2648,1977
2/1/2015,2411,3011,2657,1984
3/1/2015,2417,3023,2666,1985
4/1/2015,2429,3039,2679,1993
5/1/2015,2442,3059,2696,2004
6/1/2015,2457,3077,2711,2011
7/1/2015,2473,3091,2725,2029
8/1/2015,2484,3104,2737,2041
