EOS,"100 W 31st St, New York, NY 10001
Chelsea",Studio, 1 bath,"$4,235",-1.0,0,202110
EOS,"100 W 31st St, New York, NY 10001
Chelsea",Studio, 1 bath,"$4,240",-1.0,0,202110
EOS,"100 W 31st St, New York, NY 10001
Chelsea",1 bed, 1 bath,"$5,445","$5,830", 623 sq ft,202110
EOS,"100 W 31st St, New York, NY 10001
Chelsea",3 beds, 2 baths,"$10,805",-1.0,0,202110
Waterside Plaza,"30 Waterside Plz, New York, NY 10010
Kips Bay",1 bed, 1 bath,"$3,204","$3,650", 589 – 731 sq ft,202110
Waterside Plaza,"30 Waterside Plz, New York, NY 10010
Kips Bay",2 beds, 2 baths,"$5,454","$5,950", 997 – 1,202110
The Smile,"158 E 126th St, New York, NY 10035
East Harlem",Studio, 1 bath,"$2,612","$3,000", 458 – 565 sq ft,202110
The Smile,"158 E 126th St, New York, NY 10035
East Harlem",1 bed, 1 bath,"$2,957","$3,510", 655 – 941 sq ft,202110
The Smile,"158 E 126th St, New York, NY 10035
East Harlem",2 beds, 2 baths,"$4,464",-1.0, 1,202110
685 First Avenue,"685 First Ave, New York, NY 10016
Murray Hill",Studio, 1 bath,"$4,029",-1.0, 445 – 671 sq ft,202110
685 First Avenue,"685 First Ave, New York, NY 10016
Murray Hill",1 bed, 1 bath,"$5,077",-1.0, 770 – 862 sq ft,202110
685 First Avenue,"685 First Ave, New York, NY 10016
Murray Hill",2 beds, 2 baths,"$7,549",-1.0, 1,202110
One Manhattan Square,"225 Cherry St, New York, NY 10002
Lower East Side",1 bed, 1 bath,"$5,695","$7,250", 694 sq ft,202110
One Manhattan Square,"225 Cherry St, New York, NY 10002
Lower East Side",2 beds, 2 baths,"$7,695","$9,000", 1,202110
One Manhattan Square,"225 Cherry St, New York, NY 10002
Lower East Side",3 beds, 2 baths,"$10,795",-1.0, 1,202110
180 Water St,"180 Water St, New York, NY 10038
Financial District",3 beds, 3 baths,"$7,012",-1.0,0,202110
VIA 57 WEST,"625 W 57th St, New York, NY 10019
Hell's Kitchen",Studio, 1 bath,"$3,550",-1.0,0,202110
VIA 57 WEST,"625 W 57th St, New York, NY 10019
Hell's Kitchen",1 bed, 1 bath,"$4,950","$5,200",0,202110
VIA 57 WEST,"625 W 57th St, New York, NY 10019
Hell's Kitchen",1 bed, 2 baths,"$7,500",-1.0,0,202110
VIA 57 WEST,"625 W 57th St, New York, NY 10019
Hell's Kitchen",2 beds, 2 baths,"$7,800",-1.0,0,202110
VIA 57 WEST,"625 W 57th St, New York, NY 10019
Hell's Kitchen",3 beds, 2 baths,"$10,925",-1.0,0,202110
VIA 57 WEST,"625 W 57th St, New York, NY 10019
Hell's Kitchen",3 beds, 2.5 baths,"$12,500",-1.0,0,202110
888 Eighth Avenue,"888 8th Ave, New York, NY 10019
Hell's Kitchen",1 bed, 1 bath,"$4,850",-1.0, 770 sq ft,202110
Stonehenge 57,"400 E 57th St, New York, NY 10022
Sutton Place",Studio, 1 bath,"$3,395",-1.0,0,202110
Stonehenge 57,"400 E 57th St, New York, NY 10022
Sutton Place",1 bed, 1 bath,"$4,183",-1.0,0,202110
Windsor400,"400 E 71st St, New York, NY 10021
Lenox Hill",1 bed, 1 bath,"$3,200","$3,500", 810 – 850 sq ft,202110
Windsor400,"400 E 71st St, New York, NY 10021
Lenox Hill",2 beds, 2 baths,"$5,850",-1.0, 1,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",Studio, 1 bath,"$3,131","$3,177", 432 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 1 bath,"$4,090","$4,116", 678 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 1 bath,"$4,582","$4,631", 675 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 1 bath,"$3,960","$4,088", 567 – 587 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 2 baths,"$4,842","$5,164", 1,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 1 bath,"$4,133","$4,155", 683 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 1 bath,"$4,619",-1.0, 675 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 1 bath,"$3,894",-1.0, 521 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 1 bath,"$4,497",-1.0, 700 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",1 bed, 1.5 baths,"$4,809",-1.0, 965 sq ft,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",2 beds, 2 baths,"$6,799",-1.0, 1,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",2 beds, 2 baths,"$6,648","$7,268", 1,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",2 beds, 2 baths,"$6,497",-1.0, 1,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",2 beds, 2 baths,"$6,143",-1.0, 1,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",3 beds, 2 baths,"$7,774",-1.0, 1,202110
View 34,"401 E 34th St, New York, NY 10016
Murray Hill",3 beds, 2 baths,"$8,375",-1.0, 1,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,170",-1.0, 444 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,195",-1.0, 473 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,200","$3,265", 475 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,215","$3,230", 487 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,247",-1.0, 557 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,257",-1.0, 636 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,300",-1.0, 494 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,347",-1.0, 582 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,372",-1.0, 575 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,372",-1.0, 578 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,665",-1.0, 551 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,784","$3,834", 675 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,799",-1.0, 623 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,235",-1.0, 425 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,690","$3,805", 591 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,205","$3,220", 487 sq ft,202110
95 Wall,"95 Wall St, New York, NY 10005
Seaport",Studio, 1 bath,"$3,969",-1.0, 694 sq ft,202110
